caseno relat sempl act
0055494I 1 1 1
0056880I 1 0 1
0058848I 1 1 1
0061071I 1 0 1
0062864I 1 1 1
0060214I 1 1 1
0064663I 1 0 3
0065719I 1 1 4
0067184I 1 0 1
0067294I 1 1 1
0067810I 1 1 1
0069350I 1 0 1
0073276I 1 1 2
0086578I 2 1 2
0087386I 1 1 2
0092429I 1 0 1
0097131I 1 1 1
0097329I 1 0 3
0099608I 1 1 2
0100849I 1 1 1
0101776I 1 1 2
0102668I 1 1 1
0102902I 1 1 1
0107634I 1 1 3
0108902I 1 1 2
0109363I 1 1 2
0082171I 1 0 2
0112330I 1 1 2
0112650I 1 1 2
0112880I 1 1 2
0115068I 1 0 3
0114365I 1 1 2
0120080I 1 1 1
0111729I 2 1 2
0120673I 1 1 2
0113296I 2 1 2
0124826I 1 0 1
0125227I 1 1 1
0126083I 1 1 1
0127313I 1 1 2
0128947I 1 0 2
0136262I 1 1 2
0137493I 1 1 2
0138737I 1 1 2
0142913I 2 1 1
0150432I 2 1 1
0150453I 1 1 1
0150473I 1 0 2
0152283I 1 1 2
0152329I 1 1 2
0152641I 1 1 1
0153471I 1 1 1
0153626I 1 1 1
0154306I 1 1 1
0157900I 1 1 1
0158461I 1 1 1
0159788I 1 1 1
0159867I 1 0 3
0159729I 1 1 1
0165372I 1 1 1
0167013I 1 1 1
     159 1 1 2
0171284I 1 1 2
0171452I 1 0 2
0173045I 1 1 1
0173455I 1 1 1
0175142I 1 1 2
0176296I 1 1 2
0176434I 1 1 1
0177005I 1 1 3
0183778I 1 1 1
0183994I 1 1 1
0188643I 1 1 2
0189178I 1 1 2
0189779I 1 1 1
0192070I 1 1 1
0192530I 1 1 2
0193786I 1 1 2
0150632I 1 0 2
0163600I 1 1 3
0188217I 1 1 1
0203687I 1 1 2
0203767I 3 1 2
0206906I 1 1 2
0207303I 1 0 2
0211011I 1 0 2
0215733I 1 1 1
0214834I 1 1 1
0212290I 1 1 2
0213642I 1 1 2
0222375I 1 1 2
0228482I 1 1 1
0230936I 1 1 3
0235923I 1 1 2
0236295I 1 1 2
0231556I 1 1 3
0190591I 1 1 2
0243022I 1 1 1
0250654I 1 1 2
0252626I 1 0 1
0253090I 1 1 2
0255352I 1 1 2
0254169I 1 1 1
0255916I 1 1 2
0255688I 3 1 1
0270524I 1 1 1
0274899I 3 0 2
0274812I 1 1 2
0276996I 1 1 2
0278364I 1 1 2
0280792I 1 1 1
0281788I 1 1 2
0284070I 1 1 1
0288240I 3 0 2
0292750I 1 1 2
0295223I 1 1 2
0302852I 1 1 1
0304558I 1 1 2
0306049I 1 1 2
0312113I 1 1 1
0314363I 1 0 1
0315978I 1 1 1
0317542I 1 1 1
0320006I 1 0 1
0324508I 1 1 1
0252870I 1 1 1
0329716I 1 1 2
0331942I 1 1 1
0335873I 1 1 1
0339366I 1 1 1
0341490I 1 1 2
0336566I 1 1 1
0343146I 1 1 2
0344629I 1 1 2
0347485I 1 1 1
0347912I 2 0 2
0343426I 1 1 2
0350596I 1 1 1
0350719I 1 1 2
0352314I 1 1 1
0352676I 1 1 1
0353895I 2 0 2
0354540I 2 1 2
0358333I 1 1 1
0358418I 1 1 1
0358595I 1 1 1
0358646I 1 1 2
0359871I 1 1 2
0364620I 1 1 2
0365936I 1 0 1
0365988I 1 1 1
0370532I 1 1 1
0372386I 1 0 3
0373690I 1 1 1
0374466I 1 1 2
0375522I 1 1 1
0377309I 1 1 1
0381238I 1 1 1
0385213I 1 1 1
0389382I 1 0 1
0390754I 1 1 2
0402754I 1 0 1
0403973I 1 1 1
0405295I 1 0 1
0411037I 1 1 2
0412424I 1 1 1
0414943I 1 0 1
0417821I 1 1 3
0428759I 1 0 2
0429045I 1 0 3
0433615I 1 1 2
0413204I 1 1 3
0414133I 1 1 1
0429224I 1 1 1
0434520I 2 1 1
0436528I 1 1 2
0437661I 1 0 2
0443071I 1 0 2
0450661I 1 1 3
0451373I 1 1 2
0455347I 1 0 2
0459879I 1 1 1
0461293I 1 0 1
0463433I 1 1 2
0464126I 1 0 2
0465020I 1 1 1
0466062I 1 0 2
0470907I 1 1 2
0473199I 1 0 1
0474696I 1 1 1
0474839I 1 0 1
0475995I 1 1 1
0478053I 1 1 1
0480280I 1 1 1
0481919I 1 1 2
0486630I 1 1 2
0490204I 1 0 1
0491101I 1 0 1
0492104I 1 1 2
0492258I 1 1 2
0495693I 1 0 1
0495978I 1 1 2
0497329I 1 1 2
0500878I 1 1 1
0496046I 1 0 2
0502008I 1 1 2
0502715I 1 0 1
0504484I 1 0 1
0514864I 1 1 2
0516038I 1 0 2
0520332I 1 1 1
0513142I 1 1 3
0527814I 1 1 1
0528873I 1 1 2
0529226I 1 1 1
0536078I 1 1 3
0513959I 3 1 3
0536446I 2 0 2
0540261I 2 1 1
0544649I 1 0 1
0548060I 1 0 1
0548148I 1 0 1
0548856I 1 0 3
0549588I 1 1 1
0552398I 1 1 2
0555296I 1 1 1
0556599I 1 1 2
0557570I 1 1 1
0562596I 1 0 2
0563066I 1 0 1
0566911I 1 0 3
0569211I 1 1 1
0575258I 1 1 1
0578178I 1 1 2
0579797I 1 1 2
0580028I 1 1 1
0581623I 1 1 1
0583105I 1 1 1
0583126I 1 1 2
0530276I 1 1 1
0577570I 1 0 2
0583393I 1 1 1
0584838I 1 1 2
0585262I 1 1 1
0585335I 1 1 3
0586817I 1 1 3
0587529I 1 0 1
0589072I 1 1 3
0593938I 1 1 1
0597460I 1 1 3
0599313I 1 1 1
0600213I 1 1 1
0602334I 1 1 2
0598806I 1 1 2
0601724I 1 0 2
0605477I 1 1 2
0606108I 1 1 1
0600078I 1 1 2
0602515I 1 1 1
0607715I 2 1 1
0609042I 1 1 2
0612631I 1 1 2
0614178I 1 0 2
0622528I 2 1 2
0621435I 1 1 2
0623036I 1 1 2
0620264I 1 1 1
0626502I 1 1 1
0637178I 1 1 1
0637444I 1 1 2
0642499I 1 1 2
0644500I 2 1 2
0646174I 1 1 2
0624664I 1 1 3
0650241I 1 1 3
0652603I 1 1 3
0654575I 1 1 1
0651000I 1 1 3
0655279I 1 1 2
0650593I 1 1 1
0656119I 1 1 1
0001112J 1 0 1
0001775J 1 1 1
0003082J 1 0 2
0006682J 1 1 1
0010370J 1 1 2
0010393J 1 1 2
0012489J 1 1 1
0017508J 1 1 2
0013773J 1 0 2
0024171J 1 1 2
0018254J 1 0 1
0031492J 1 1 2
0035328J 1 1 1
0037983J 1 1 2
0038900J 1 0 1
0013415J 1 1 1
0042160J 1 1 3
0042194J 1 1 3
0042249J 1 1 1
0050989J 1 1 1
0048022J 1 1 1
0050609J 1 1 1
0051282J 1 1 1
0052833J 1 0 1
0058077J 1 1 1
0060214J 1 1 2
0061883J 1 1 2
0020153J 1 1 2
0072788J 1 1 1
0074966J 1 0 1
0075079J 1 1 1
0075094J 1 1 2
0076096J 1 0 2
0072648J 1 1 1
0082275J 1 1 1
0084530J 1 1 2
0084669J 1 0 1
0084933J 1 1 3
0086995J 1 1 2
0087826J 1 1 1
0088978J 1 1 1
0089906J 1 1 2
0090668J 1 1 2
0090955J 3 1 1
0092460J 1 1 2
0093702J 1 1 2
0099317J 1 1 1
0102833J 4 0 1
0104518J 1 1 3
0109892J 4 1 2
0110205J 1 1 1
0113237J 1 1 1
0115130J 4 1 2
0115169J 1 1 1
0117606J 1 0 1
0118196J 1 0 2
0119124J 1 1 1
0120978J 1 0 3
0121345J 4 1 1
0122864J 4 1 1
0122937J 1 1 1
0124300J 1 1 2
0124713J 1 1 1
0127910J 1 1 1
0128034J 1 1 1
0128260J 1 1 1
0129732J 4 0 1
0131108J 1 1 1
0132048J 1 1 1
0132542J 1 1 1
0135126J 1 0 1
0137412J 4 1 1
0138053J 1 1 1
0140230J 1 1 1
0142566J 1 0 2
0142574J 1 0 2
0144104J 1 1 2
0144617J 4 1 1
0146380J 1 0 2
0150056J 1 0 2
0154608J 1 1 2
0156947J 1 0 2
0163656J 1 1 3
0166292J 4 1 1
0173592J 1 1 1
0174447J 1 1 1
0176934J 1 1 1
0180268J 1 1 1
0180594J 4 0 3
0184400J 3 0 1
0184437J 4 1 2
0188628J 1 1 1
0191924J 1 0 2
0188570J 1 1 1
0189125J 1 1 1
0195484J 4 1 3
0197122J 4 1 2
0200508J 1 1 2
0201098J 2 1 1
0202072J 1 1 2
0202524J 1 1 1
0205912J 4 1 2
0207232J 1 0 3
0207641J 1 1 1
0208345J 1 0 1
0209001J 1 0 1
0209026J 1 1 2
0209335J 1 0 2
0211454J 1 0 1
0212839J 1 1 1
0213409J 1 1 1
0213600J 1 0 2
0210793J 1 0 3
0218049J 1 1 3
0211309J 1 1 4
0218216J 1 1 1
0218837J 1 1 1
0221466J 1 0 2
0222019J 1 1 1
0225145J 1 1 3
0225652J 1 1 2
0228944J 1 1 2
0230589J 1 1 1
0232824J 1 0 1
0239080J 1 1 1
0239438J 1 1 1
0242305J 1 0 1
0246847J 4 0 1
0248716J 1 1 1
0250376J 1 1 2
0252064J 1 1 1
0239963J 3 1 1
0253811J 1 0 1
0255315J 1 1 2
0255657J 1 1 2
0257248J 1 1 1
0262598J 1 1 1
0262890J 4 0 3
0263494J 1 1 2
0264072J 1 1 2
0264491J 1 1 1
0266260J 1 1 1
0268025J 1 1 1
0268140J 1 1 1
0270923J 1 0 1
0274663J 1 1 2
0275055J 1 1 1
0275556J 4 1 2
0276259J 1 1 1
0276803J 1 1 1
0278347J 1 1 1
0278592J 4 0 1
0280025J 1 1 2
0273997J 1 1 1
0280629J 1 1 1
0275025J 2 0 3
0280377J 1 1 2
0281783J 1 0 1
0282484J 1 1 1
0284188J 1 0 2
0285409J 1 0 3
0286267J 1 0 1
0286721J 1 1 2
0287041J 4 1 1
0288710J 1 1 1
0296633J 1 1 1
0299894J 1 0 1
0301474J 1 1 1
0301975J 1 1 1
0292516J 1 0 3
0309516J 4 1 3
0311661J 4 1 3
0312916J 1 1 1
0319539J 1 1 2
0321062J 2 1 2
0321920J 4 0 1
0329881J 4 1 2
0330971J 4 1 2
0330859J 1 1 3
0332668J 1 0 1
0345092J 1 1 1
0347391J 4 0 1
0350882J 1 0 3
0350379J 4 1 1
0506002I 1 1 1
0509791I 1 0 1
0510853I 4 1 2
0516531I 4 1 2
0517136I 1 1 2
0518304I 4 0 2
0515655I 1 1 1
0520275I 1 1 1
0519684I 4 0 1
0515010I 4 0 2
0522150I 1 1 2
0523615I 3 0 2
0523687I 1 1 2
0518426I 1 1 1
0525926I 4 0 2
0528106I 4 1 1
0523607I 4 1 2
0520478I 1 1 1
0531073I 1 1 1
0532504I 1 1 2
0529196I 1 1 3
0534430I 4 0 2
0528875I 1 1 1
0530850I 1 1 1
0530745I 1 0 1
0534694I 4 1 2
0523656I 1 1 1
0540316I 1 1 2
0540236I 4 1 1
0522530I 1 1 2
0537514I 4 1 2
0509377I 1 0 2
0514470I 4 1 2
0546518I 4 1 1
0548659I 1 0 1
0549599I 4 1 2
0549880I 1 1 1
0551687I 4 0 2
0551134I 1 0 2
0551335I 1 0 1
0551532I 1 1 2
0550721I 1 1 2
0523357I 1 1 2
0556299I 4 1 1
0556450I 4 1 2
0556538I 1 1 1
0556984I 1 1 1
0558506I 1 0 1
0554475I 1 1 2
0557105I 1 0 2
0563416I 4 1 1
0561138I 4 0 1
0569283I 1 1 2
0569625I 1 1 2
0572055I 1 0 1
0553302I 4 0 1
0573215I 4 1 2
0573421I 1 1 3
0577926I 1 1 1
0580232I 1 0 1
0572472I 4 0 1
0574609I 4 1 2
0581591I 1 1 2
0583701I 1 1 1
0583845I 4 0 3
0562242I 1 1 3
0583748I 1 1 4
0585326I 4 1 1
0585462I 1 1 1
0586267I 1 1 2
0586724I 4 1 1
0586723I 1 1 1
0589981I 4 1 1
0589667I 4 1 2
0590447I 4 0 2
0592314I 4 0 1
0592228I 1 1 1
0593812I 1 0 2
0595894I 1 1 2
0597192I 4 0 1
0598651I 1 1 2
0597617I 1 1 2
0582491I 1 1 2
0595753I 1 0 1
0598170I 1 1 1
0600163I 1 1 1
0601186I 1 1 2
0604021I 4 1 1
0597271I 4 1 1
0607628I 4 0 2
0608603I 1 1 1
0610525I 1 0 1
0610874I 4 0 1
0611206I 1 0 1
0611713I 4 0 2
0613568I 1 1 1
0614226I 1 1 2
0615744I 1 1 3
0615921I 4 0 2
0616096I 1 1 1
0611284I 1 0 2
0614041I 1 1 2
0617738I 1 1 2
0617886I 1 1 1
0611559I 4 0 2
0621174I 4 0 2
0623248I 1 0 2
0624352I 1 1 2
0624995I 1 1 2
0626360I 1 1 2
0628524I 1 1 1
0628678I 4 1 1
0631600I 1 0 3
0635047I 4 1 1
0637493I 1 1 2
0638517I 4 0 2
0637220I 1 1 2
0639966I 4 1 1
0640515I 1 1 1
0644338I 1 1 1
0645730I 1 0 1
0644145I 4 1 2
0652508I 1 0 2
0648225I 1 1 1
0649749I 9 1 1
0649984I 1 0 2
0650172I 1 0 1
0651442I 4 0 1
0652686I 1 1 1
0653106I 1 1 2
0652342I 1 1 1
0655880I 1 1 1
0656216I 1 1 1
0656479I 1 1 1
0660211I 1 0 1
0000033J 4 1 2
0000548J 4 0 1
0000678J 1 0 3
0001703J 1 0 1
0001748J 1 1 1
0002388J 3 0 1
0005289J 1 0 2
0006736J 1 0 1
0007020J 4 0 2
0013783J 1 0 3
0011741J 4 1 1
0013574J 2 1 1
0010534J 1 0 2
0016632J 1 0 3
0017103J 4 0 2
0017793J 4 1 2
0017984J 1 0 3
0019157J 1 0 1
0019190J 4 0 2
0014622J 1 1 1
0017003J 4 0 3
0020549J 1 0 2
0020626J 1 1 2
0022174J 3 1 2
0023105J 2 1 1
0024029J 1 1 2
0025610J 1 0 1
0026608J 1 0 1
0027505J 4 0 2
0028861J 1 1 1
0033070J 1 1 1
0034365J 1 1 2
0036210J 1 1 1
0038312J 1 0 1
0032017J 4 0 2
0036574J 1 1 2
0046262J 1 0 1
0039308J 4 1 1
0047642J 4 0 2
0049795J 1 0 1
0050270J 1 0 2
0051438J 1 0 2
0053153J 4 0 1
0054712J 1 1 2
0053695J 4 1 1
0056605J 3 1 1
0059619J 1 0 2
0060821J 1 0 1
0061181J 1 1 2
0063870J 4 1 3
0069264J 1 1 1
0071178J 1 1 1
0073056J 1 0 1
0072048J 1 1 1
0073356J 1 0 1
0074525J 1 0 1
0079530J 1 0 1
0066788J 4 0 2
0072324J 4 1 1
0081583J 4 0 1
0085636J 4 1 1
0085674J 1 0 2
0086911J 1 0 1
0087111J 4 1 2
0088677J 4 1 2
0081767J 1 0 2
0090919J 4 0 1
0091907J 1 1 2
0092241J 4 0 2
0092769J 1 1 2
0097952J 1 0 3
0098355J 4 1 1
0100209J 3 1 1
0101752J 4 1 2
0102283J 4 0 1
0102939J 4 1 3
0107993J 1 1 2
0104860J 1 0 1
0106477J 1 1 3
0106794J 1 0 1
0108079J 1 1 1
0110309J 1 1 1
0112803J 1 1 1
0113122J 4 1 1
0113563J 4 1 3
0115763J 1 1 2
0117117J 1 1 2
0082906J 1 0 2
0120853J 1 1 1
0122333J 4 1 2
0121008J 1 0 1
0123266J 1 0 3
0126558J 1 0 1
0128448J 4 1 3
0129623J 1 1 2
0108223J 1 0 3
0132071J 4 0 3
0133312J 1 1 1
0133640J 1 1 1
0133916J 1 1 1
0136631J 4 1 2
0136257J 2 1 2
0135817J 4 0 1
0139131J 1 1 2
0141701J 4 1 1
0122326J 4 0 2
0141682J 4 1 2
0080955J 4 1 2
0148666J 1 1 1
0150310J 4 1 2
0150803J 1 0 2
0148392J 1 1 1
0157438J 1 0 1
0157396J 4 1 3
0160749J 1 1 1
0161261J 1 1 1
0161430J 1 0 2
0164152J 1 0 1
0171470J 4 1 1
0172329J 2 1 1
0172726J 1 1 1
0175421J 4 0 1
0176438J 4 0 2
0180253J 4 1 1
0180399J 1 0 2
0187893J 1 1 1
0189675J 2 1 2
0193459J 1 1 1
0196800J 1 0 3
0198829J 1 0 1
0200545J 1 1 2
0204272J 4 0 1
0205323J 1 1 1
0207001J 1 1 2
0209102J 4 1 3
0211562J 4 1 1
0211727J 4 1 1
0213302J 1 1 2
0214138J 4 1 1
0214435J 4 1 1
0215942J 1 0 1
0216255J 4 1 3
0210725J 1 0 1
0217846J 1 1 2
0218831J 4 0 2
0225232J 1 1 2
0227112J 4 0 1
0226109J 4 1 1
0226991J 1 0 1
0229049J 4 1 1
0233409J 1 0 2
0236916J 3 1 1
0237200J 1 0 1
0237328J 1 1 1
0239747J 4 0 3
0240463J 4 1 1
0242347J 3 1 1
0243550J 4 0 2
0200218J 1 1 2
0245351J 1 0 2
0245358J 4 1 2
0251548J 1 1 1
0246272J 1 0 2
0247020J 4 0 2
0256682J 1 1 2
0258878J 1 0 3
0259043J 4 1 1
0265796J 4 0 1
0264766J 1 1 2
0255752J 1 0 4
0272939J 1 0 1
0275138J 1 0 1
0275765J 4 1 2
0276084J 1 0 2
0279825J 3 0 2
0280711J 1 0 2
0282516J 1 1 1
0284089J 1 1 1
0284208J 1 0 2
0284138J 4 1 2
0286690J 1 1 1
0287093J 4 1 1
0289294J 1 1 1
0291130J 1 1 1
0293666J 4 0 1
0295367J 1 0 2
0296805J 1 1 2
0251057J 1 1 2
0298418J 1 0 3
0278952J 1 1 1
0300190J 1 1 3
0300768J 1 1 1
0301772J 1 0 2
0303595J 1 0 2
0305212J 1 0 1
0311200J 4 1 1
0311359J 1 0 1
0311647J 1 0 1
0314760J 4 0 2
0318119J 1 0 3
0321556J 1 0 1
0326433J 1 1 1
0327142J 4 1 1
0327158J 4 1 1
0329843J 4 1 2
0330835J 1 0 2
0331011J 1 0 1
0334208J 4 0 2
0335008J 4 0 1
0337285J 1 1 3
0336435J 4 0 1
0346840J 1 1 1
0350044J 4 1 2
0351678J 1 0 2
0351355J 4 0 2
0351405J 1 1 2
0352495J 1 0 1
